title,discounted_price,normal_price,url
Electric Soldering Iron Suit Thermostat Electric Iron Set 28 Pieces Thermostat,$36.32,$36.32,https://www.cigabuy.com/electric-soldering-iron-suit-thermostat-electric-iron-set-28-pieces-thermostat-p-19246.html
1/2/4 pcs YWXLIGHT 220-240V 24W 1920LM SMD 5730 Octagonal LED Ceiling Lamp,$4.53,$4.53,https://www.cigabuy.com/124-pcs-ywxlight-220-240v-24w-1920lm-smd-5730-octagonal-led-ceiling-lamp-p-17583.html
Women's Screen Gloves Warm Lined Thick Touch Warmer Winter Gloves,$1.60,$10.79 ,https://www.cigabuy.com/womens-screen-gloves-warm-lined-thick-touch-warmer-winter-gloves-p-15270.html
Waterproof Bluetooth V3.0 Shower Hands-free Mic Suction Speaker,$2.62,$2.78 ,https://www.cigabuy.com/waterproof-bluetooth-v30-shower-hands-free-mic-suction-speaker-p-10830.html
Mini Foldable Handle Hair Dryer Portable Folding Blow Dryer Low Noise,$2.52,$20.27 ,https://www.cigabuy.com/mini-foldable-handle-hair-dryer-portable-folding-blow-dryer-low-noise-p-15431.html
Men Cycling Underwear Bicycle Mountain Shorts Riding Bike Sport Underwear,$2.61,$13.61 ,https://www.cigabuy.com/men-cycling-underwear-bicycle-mountain-shorts-riding-bike-sport-underwear-p-18937.html
28 Pcs Carving Soldering Iron Electric Marking Pen Suit,$25.81,$25.81,https://www.cigabuy.com/28-pcs-carving-soldering-iron-electric-marking-pen-suit-p-19197.html
No.1 Smartband F4 IP68 Heart Rate Sedentary Reminder Remote Camera Pedometer,$21.69,$21.69,https://www.cigabuy.com/no1-smartband-f4-ip68-heart-rate-sedentary-reminder-remote-camera-pedometer-p-19723.html
Simplified Package Xiaomi Piston 3rd Edition Earphone Mic,$16.29,$16.29,https://www.cigabuy.com/simplified-package-xiaomi-piston-3rd-edition-earphone-mic-p-19820.html
DUBERY Vintage Sunglasses Polarized Men's Sun Glasses For Men,$5.02,$5.02,https://www.cigabuy.com/dubery-vintage-sunglasses-polarized-mens-sun-glasses-for-men-p-18476.html
SW11 Child Smart Watch GPS Watch Phone Kids Safe Monitor Tracker Pedometer,$14.67,$14.67,https://www.cigabuy.com/sw11-child-smart-watch-gps-watch-phone-kids-safe-monitor-tracker-pedometer-p-19724.html
Stainless Steel Digital Alarm Stopwatch Wrist Watch Excellent Wristwatch,$2.03,$2.03,https://www.cigabuy.com/stainless-steel-digital-alarm-stopwatch-wrist-watch-excellent-wristwatch-p-19750.html
ThiEYE i60+ 4K WiFi Remote Control Action Camera Biking Diving Sport Camera,$53.20,$118.99 ,https://www.cigabuy.com/thieye-i60-4k-wifi-remote-control-action-camera-biking-diving-sport-camera-p-18919.html
100 x Transparent PVC Gloves Rubber For Home Kitchen Garden Cleaning,$5.35,$9.10 ,https://www.cigabuy.com/100-x-transparent-pvc-gloves-rubber-for-home-kitchen-garden-cleaning-p-18129.html
